"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
129;"National Government Records";"Image Copies";"Online:";"Patent & Trademark Office (U.S.)";"S";"ESM556";;"[TITLE]";"Database Title";",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
130;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"basic format";"L";"ESM646";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;":";"T";;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
130;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"basic format";"F";"ESM646";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;":";;;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
130;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"basic format";"S";"ESM646";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
131;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"chapter";"L";"ESM647";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Chapter Title";".";"T";;"Quoted";;;;
;;;;;;;;"[BOOK]";"Book Title";".";"T";;"Italics";;;;
;;;;;;;;"[EDITOR]";"Book Editor";;"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
;;;;;;;;"[CHAPTER PAGES]";;".";"P";;;;;;
131;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"chapter";"F";"ESM647";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Chapter Title";",";;;"Quoted";;;;
;;;;;;;;"[BOOK]";"Book Title";",";;;"Italics";;;;
;;;;;;;;"[EDITOR]";"Book Editor";;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
131;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"chapter";"S";"ESM647";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Chapter Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
132;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"edited";"L";"ESM648";;"[EDITOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;":";"T";;"Italics,Quoted";;;;
;;;;;;;;"[SUBTITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
132;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"edited";"F";"ESM648";;"[EDITOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics,Quoted";;;;
;;;;;;;;"[SUBTITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
132;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"edited";"S";"ESM648";;"[EDITOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics,Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
133;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"multivolume set";"L";"ESM649";;"[AUTHOR]";"Abstractor";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[VOLUME INFO]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
133;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"multivolume set";"F";"ESM649";;"[AUTHOR]";"Abstractor";",";;"GS";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[VOLUME INFO]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
133;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"multivolume set";"S";"ESM649";;"[AUTHOR]";"Abstractor";",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
134;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"reprint";"L";"ESM650";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[ORIGINAL YEAR]";"Original Publication Year";".";"P";;;;;;
;;;;;;;;"[FORMAT]";"New Format";",";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
134;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"reprint";"F";"ESM650";;"[AUTHOR]";;".";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[ORIGINAL YEAR]";"Original Publication Year";";";;;;;;;
;;;;;;;;"[FORMAT]";"New Format";",";;;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
134;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"reprint";"S";"ESM650";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
135;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"revised edition";"L";"ESM651";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[EDITION]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
135;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"revised edition";"F";"ESM651";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[EDITION]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
135;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Book";"revised edition";"S";"ESM651";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
136;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Leaflet";;"L";"ESM652";;"[AUTHOR]";;".";"A";;;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[FORMAT]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
136;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Leaflet";;"F";"ESM652";;"[AUTHOR]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[FORMAT]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
136;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Leaflet";;"S";"ESM652";;"[AUTHOR]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
137;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Map";;"L";"ESM653";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
137;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Map";;"F";"ESM653";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";").";;;;;;;
137;"Publications: Books, CDs, Maps, Leaflets & Videos";"Print Publications";"Map";;"S";"ESM653";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[YEAR]";"Year(s)";").";;;;;;;
138;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Audio book";;"L";"ESM654";;"[AUTHOR]";;",";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;":";"T";;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[FORMAT]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
138;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Audio book";;"F";"ESM654";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;":";;;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;",";;;"Italics";;;;
;;;;;;;;"[FORMAT]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[TIMESTAMP]";"Timestamp in Audio";".";;;;;;;
138;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Audio book";;"S";"ESM654";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[TIMESTAMP]";"Timestamp in Audio";".";;;;;;;
139;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"CD/DVD book (text)";;"L";"ESM655";;"[AUTHOR]";"Author (Translator)";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[FORMAT]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
139;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"CD/DVD book (text)";;"F";"ESM655";;"[AUTHOR]";"Author (Translator)";",";;"GS";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[FORMAT]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
139;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"CD/DVD book (text)";;"S";"ESM655";;"[AUTHOR]";"Author (Translator)";",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
140;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Video";;"L";"ESM656";;"[AUTHOR]";"Presenter";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[FORMAT]";;".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
140;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Video";;"F";"ESM656";;"[AUTHOR]";"Presenter";",";;"GS";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[FORMAT]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[TIMESTAMP]";"Timestamp in Video";".";;;;;;;
140;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Video";;"S";"ESM656";;"[AUTHOR]";"Presenter";",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[TIMESTAMP]";"Timestamp in Video";".";;;;;;;
141;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Website as book";;"L";"ESM657";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[WEBSITE]";;".";"T";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)] ";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
141;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Website as book";;"F";"ESM657";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
141;"Publications: Books, CDs, Maps, Leaflets & Videos";"Electronic Publications";"Website as book";;"S";"ESM657";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
142;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"CD/DVD publication";;"L";"ESM658";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[ORIGINAL YEAR]";"Original Publication Year";".";"P";;;;;;
;;;;;;;;"[FORMAT]";"New Format";".";"P";;;;;;
;;;;;;;;"[PUBLICATION TITLE]";"CD/DVD Title";".";"P";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
142;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"CD/DVD publication";;"F";"ESM658";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[ORIGINAL YEAR]";"Original Publication Year";"),";;;;;;;
;;;;;;;;"[FORMAT]";"New Format";",";;;;;;;
;;;;;;;;"[PUBLICATION TITLE]";"CD/DVD Title";;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
142;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"CD/DVD publication";;"S";"ESM658";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
143;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm";"FHL-GSU preservation";"L";"ESM659";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;;"T";;"Italics";;;;
;;;;;;;;"[TRANSLATION]";"Translation of Title";".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";"Original Publication Place";":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";"Original Publisher";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"Original Publication Year";".";;;;;;;
;;;;;;;;"[FILM ID]";;",";"P";;;;;;
;;;;;;;;"[POSITION]";"Position on Source";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
143;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm";"FHL-GSU preservation";"F";"ESM659";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;;"[TRANSLATION]";"Translation of Title";;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";"Original Publication Place";":";;;;;;;
;;;;;;;;"[PUBLISHER]";"Original Publisher";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"Original Publication Year";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[FILM ID]";;",";;;;;;;
;;;;;;;;"[POSITION]";"Position on Source";".";;;;;;;
143;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm";"FHL-GSU preservation";"S";"ESM659";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
144;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm publication";;"L";"ESM660";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";"Original Publication Place";":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";"Original Publisher";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"Original Publication Year";".";;;;;;;
;;;;;;;;"[SERIES]";"Film Publication Series";".";"P";;"Italics";;;;
;;;;;;;;"[ROLL]";;",";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[FILM PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[FILM PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
144;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm publication";;"F";"ESM660";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";"Original Publication Place";":";;;;;;;
;;;;;;;;"[PUBLISHER]";"Original Publisher";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"Original Publication Year";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[SERIES]";"Film Publication Series";;;;"Italics";;;;
;;;;;;;"(";"[FILM PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[FILM PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[ROLL]";;",";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
144;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Microfilm publication";;"S";"ESM660";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
145;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Online publication";;"L";"ESM661";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION YEAR]";"Original Publication Year";".";"P";;;;;;
;;;;;;;;"[FORMAT]";"New Format";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)] ";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
145;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Online publication";;"F";"ESM661";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION YEAR]";"Original Publication Year";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[FORMAT]";"New Format";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;").";;;;;;;
145;"Publications: Books, CDs, Maps, Leaflets & Videos";"Image Copies";"Online publication";;"S";"ESM661";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
146;"Publications: Legal Works & Government Documents";"Book:";"Basic Format";;"L";"ESM727";;"[AUTHOR]";"Author (Compiler)";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
146;"Publications: Legal Works & Government Documents";"Book:";"Basic Format";;"F";"ESM727";;"[AUTHOR]";"Author (Compiler)";",";;"GS";;;;;
;;;;;;;;"[TITLE]";;;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
146;"Publications: Legal Works & Government Documents";"Book:";"Basic Format";;"S";"ESM727";;"[AUTHOR]";"Author (Compiler)";",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
147;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Series named for editor";"L";"ESM728";;"[EDITOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[VOLUME INFO]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
147;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Series named for editor";"F";"ESM728";;"[EDITOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[VOLUME INFO]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;"),";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[CASE]";;;;;"Italics";;;;
;;;;;;;"(";"[YEAR]";"Year(s)";");";;;;;;;
;;;;;;;"hereinafter cited as";"[CASE]";"Case Label";".";;;;;;;
147;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Series named for editor";"S";"ESM728";;"[CASE]";"Case Label";".";;;;;;;
148;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Standardized series";"L";"ESM729";;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[VOLUME]";;".";"T";;;;;;
;;;;;;;;"[TERM]";"Court Term";".";"T";;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
148;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Standardized series";"F";"ESM729";;"[TITLE]";;".";;;"Italics";;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;;"[TERM]";"Court Term";",";;;"Italics";;;;
;;;;;;;;"[SUBTITLE]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;"),";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[CASE]";;";";;;"Italics";;;;
;;;;;;;"hereinafter cited as";"[CASE]";"Case Label";".";;;;;;;
148;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Case Reporters";"Standardized series";"S";"ESM729";;"[CASE]";"Case Label";".";;;;;;;
149;"Publications: Legal Works & Government Documents";"Legal Reference Works";"Codes & statutes, online";"State database";"L";"ESM730";;"[TITLE]";"Database Title";".";"T";;"Quoted";;;;
